U 29 | F 118784 | FPS 0464 | D 271 | rR:μσmM 0.43 0.34 0.00 0.95 | F:μσmM 93.0 62.4 8.0 292.0 | H 1.872 | V 0.195 | pL -0.028 | vL 0.022 | ∇ 0.060
U 30 | F 122880 | FPS 0446 | D 280 | rR:μσmM 0.17 0.26 0.00 0.95 | F:μσmM 247.2 109.7 8.0 418.0 | H 1.896 | V 0.075 | pL 0.049 | vL 0.002 | ∇ 0.037
Status saved
U 31 | F 126976 | FPS 0471 | D 289 | rR:μσmM 0.47 0.35 0.00 0.96 | F:μσmM 97.5 110.5 6.0 757.0 | H 1.848 | V 0.223 | pL -0.039 | vL 0.025 | ∇ 0.074
U 32 | F 131072 | FPS 0457 | D 298 | rR:μσmM 0.14 0.25 0.00 0.72 | F:μσmM 228.4 102.6 46.0 417.0 | H 1.917 | V 0.099 | pL 0.051 | vL 0.005 | ∇ 0.046
U 33 | F 135168 | FPS 0462 | D 306 | rR:μσmM 0.53 0.34 0.00 0.96 | F:μσmM 70.7 48.4 6.0 144.0 | H 1.829 | V 0.225 | pL -0.063 | vL 0.023 | ∇ 0.056
U 34 | F 139264 | FPS 0456 | D 315 | rR:μσmM 0.24 0.29 0.00 0.92 | F:μσmM 216.0 116.3 25.0 360.0 | H 1.908 | V 0.092 | pL 0.020 | vL 0.004 | ∇ 0.041
U 35 | F 143360 | FPS 0450 | D 325 | rR:μσmM 0.35 0.31 0.00 0.94 | F:μσmM 101.7 50.2 10.0 239.0 | H 1.884 | V 0.198 | pL -0.060 | vL 0.021 | ∇ 0.086
U 36 | F 147456 | FPS 0475 | D 333 | rR:μσmM 0.17 0.26 0.00 0.75 | F:μσmM 228.0 99.9 40.0 360.0 | H 1.922 | V 0.080 | pL 0.034 | vL 0.004 | ∇ 0.034
U 37 | F 151552 | FPS 0456 | D 342 | rR:μσmM 0.43 0.35 0.00 0.98 | F:μσmM 86.7 50.7 4.0 144.0 | H 1.867 | V 0.198 | pL -0.068 | vL 0.030 | ∇ 0.115
U 38 | F 155648 | FPS 0440 | D 351 | rR:μσmM 0.20 0.29 0.00 0.89 | F:μσmM 227.0 117.1 18.0 418.0 | H 1.929 | V 0.066 | pL 0.047 | vL 0.001 | ∇ 0.018
U 39 | F 159744 | FPS 0441 | D 361 | rR:μσmM 0.42 0.35 0.00 0.97 | F:μσmM 87.0 50.4 5.0 144.0 | H 1.884 | V 0.134 | pL -0.006 | vL 0.016 | ∇ 0.083
U 40 | F 163840 | FPS 0477 | D 369 | rR:μσmM 0.27 0.34 0.00 0.97 | F:μσmM 196.9 115.0 5.0 414.0 | H 1.900 | V 0.086 | pL 0.029 | vL 0.004 | ∇ 0.022
Status saved
U 41 | F 167936 | FPS 0477 | D 378 | rR:μσmM 0.62 0.32 0.00 0.98 | F:μσmM 61.4 54.8 3.0 313.0 | H 1.781 | V 0.319 | pL -0.081 | vL 0.027 | ∇ 0.100
U 42 | F 172032 | FPS 0475 | D 387 | rR:μσmM 0.31 0.35 0.00 0.91 | F:μσmM 195.2 132.3 26.0 556.0 | H 1.856 | V 0.171 | pL 0.077 | vL 0.013 | ∇ 0.053
U 43 | F 176128 | FPS 0472 | D 395 | rR:μσmM 0.69 0.23 0.00 0.98 | F:μσmM 48.9 36.9 4.0 173.0 | H 1.765 | V 0.380 | pL -0.031 | vL 0.024 | ∇ 0.110
U 44 | F 180224 | FPS 0480 | D 404 | rR:μσmM 0.28 0.33 0.00 0.91 | F:μσmM 226.5 130.3 14.0 454.0 | H 1.848 | V 0.184 | pL 0.117 | vL 0.003 | ∇ 0.035
