U 588 | F 1204224 | FPS 0327 | D 215 | rR:μσmM 0.33 0.42 0.00 0.90 | F:μσmM 109.0 163.3 5.0 720.0 | H 1.805 | V 0.151 | pL -0.020 | vL 0.030 | ∇ 0.193
U 589 | F 1206272 | FPS 0310 | D 222 | rR:μσmM 0.36 0.43 0.00 0.95 | F:μσmM 121.1 166.0 4.0 720.0 | H 1.788 | V 0.182 | pL -0.023 | vL 0.032 | ∇ 0.135
U 590 | F 1208320 | FPS 0343 | D 228 | rR:μσmM 0.36 0.40 0.00 0.94 | F:μσmM 116.4 117.5 9.0 450.0 | H 1.802 | V 0.187 | pL -0.025 | vL 0.033 | ∇ 0.133
Status saved
U 591 | F 1210368 | FPS 0340 | D 234 | rR:μσmM 0.25 0.37 0.00 0.96 | F:μσmM 93.6 141.2 2.0 640.0 | H 1.825 | V 0.190 | pL -0.027 | vL 0.030 | ∇ 0.149
U 592 | F 1212416 | FPS 0369 | D 240 | rR:μσmM 0.46 0.42 0.00 0.94 | F:μσmM 97.8 126.7 3.0 613.0 | H 1.785 | V 0.224 | pL -0.069 | vL 0.036 | ∇ 0.170
U 593 | F 1214464 | FPS 0411 | D 245 | rR:μσmM 0.68 0.34 0.00 0.95 | F:μσmM 118.5 79.4 6.0 290.0 | H 1.780 | V 0.303 | pL -0.056 | vL 0.030 | ∇ 0.244
U 594 | F 1216512 | FPS 0411 | D 250 | rR:μσmM 0.42 0.41 0.00 0.94 | F:μσmM 100.0 92.8 8.0 378.0 | H 1.794 | V 0.265 | pL -0.002 | vL 0.038 | ∇ 0.152
U 595 | F 1218560 | FPS 0402 | D 255 | rR:μσmM 0.47 0.42 0.00 0.94 | F:μσmM 92.2 93.6 2.0 408.0 | H 1.758 | V 0.341 | pL -0.068 | vL 0.037 | ∇ 0.201
U 596 | F 1220608 | FPS 0368 | D 260 | rR:μσmM 0.42 0.45 0.00 0.96 | F:μσmM 56.4 45.0 2.0 192.0 | H 1.732 | V 0.403 | pL -0.026 | vL 0.041 | ∇ 0.155
U 597 | F 1222656 | FPS 0359 | D 266 | rR:μσmM 0.31 0.40 0.00 0.95 | F:μσmM 77.4 91.0 9.0 458.0 | H 1.753 | V 0.323 | pL 0.065 | vL 0.036 | ∇ 0.183
U 598 | F 1224704 | FPS 0320 | D 272 | rR:μσmM 0.61 0.42 0.00 0.96 | F:μσmM 63.5 39.2 1.0 136.0 | H 1.713 | V 0.412 | pL -0.043 | vL 0.037 | ∇ 0.164
U 599 | F 1226752 | FPS 0292 | D 279 | rR:μσmM 0.32 0.42 0.00 0.94 | F:μσmM 60.4 44.5 5.0 148.0 | H 1.756 | V 0.316 | pL 0.095 | vL 0.031 | ∇ 0.181
U 600 | F 1228800 | FPS 0312 | D 286 | rR:μσmM 0.48 0.43 0.00 0.97 | F:μσmM 85.5 75.3 12.0 316.0 | H 1.761 | V 0.314 | pL 0.013 | vL 0.042 | ∇ 0.200
Status saved
U 601 | F 1230848 | FPS 0373 | D 292 | rR:μσmM 0.41 0.43 0.00 0.94 | F:μσmM 69.0 82.9 3.0 402.0 | H 1.796 | V 0.225 | pL 0.047 | vL 0.026 | ∇ 0.188
U 602 | F 1232896 | FPS 0405 | D 297 | rR:μσmM 0.36 0.42 0.00 0.97 | F:μσmM 97.5 134.3 5.0 720.0 | H 1.774 | V 0.264 | pL -0.044 | vL 0.040 | ∇ 0.183
U 603 | F 1234944 | FPS 0409 | D 302 | rR:μσmM 0.44 0.44 0.00 0.92 | F:μσmM 65.2 50.0 5.0 208.0 | H 1.789 | V 0.243 | pL 0.023 | vL 0.027 | ∇ 0.150
U 604 | F 1236992 | FPS 0415 | D 307 | rR:μσmM 0.48 0.40 0.00 0.94 | F:μσmM 125.0 124.5 19.0 535.0 | H 1.780 | V 0.279 | pL 0.013 | vL 0.033 | ∇ 0.178
U 605 | F 1239040 | FPS 0412 | D 312 | rR:μσmM 0.52 0.41 0.00 0.95 | F:μσmM 101.7 96.4 3.0 417.0 | H 1.759 | V 0.334 | pL -0.060 | vL 0.037 | ∇ 0.182
U 606 | F 1241088 | FPS 0390 | D 317 | rR:μσmM 0.55 0.43 0.00 0.95 | F:μσmM 65.5 55.4 3.0 247.0 | H 1.710 | V 0.364 | pL -0.119 | vL 0.047 | ∇ 0.206
U 607 | F 1243136 | FPS 0365 | D 322 | rR:μσmM 0.49 0.44 0.00 0.96 | F:μσmM 62.7 51.8 3.0 223.0 | H 1.729 | V 0.350 | pL -0.013 | vL 0.044 | ∇ 0.191
U 608 | F 1245184 | FPS 0403 | D 328 | rR:μσmM 0.62 0.41 0.00 0.95 | F:μσmM 73.4 53.0 2.0 264.0 | H 1.708 | V 0.497 | pL -0.123 | vL 0.036 | ∇ 0.185
U 609 | F 1247232 | FPS 0393 | D 333 | rR:μσmM 0.54 0.43 0.00 0.95 | F:μσmM 65.8 46.7 4.0 158.0 | H 1.747 | V 0.443 | pL 0.051 | vL 0.029 | ∇ 0.161
U 610 | F 1249280 | FPS 0379 | D 338 | rR:μσmM 0.61 0.42 0.00 0.97 | F:μσmM 66.6 53.4 5.0 246.0 | H 1.726 | V 0.430 | pL -0.069 | vL 0.040 | ∇ 0.177
Status saved
U 611 | F 1251328 | FPS 0388 | D 343 | rR:μσmM 0.51 0.44 0.00 0.95 | F:μσmM 66.9 63.4 1.0 233.0 | H 1.728 | V 0.415 | pL 0.035 | vL 0.053 | ∇ 0.295
U 612 | F 1253376 | FPS 0394 | D 349 | rR:μσmM 0.57 0.44 0.00 0.96 | F:μσmM 57.9 39.8 3.0 189.0 | H 1.757 | V 0.494 | pL -0.009 | vL 0.044 | ∇ 0.208
U 613 | F 1255424 | FPS 0377 | D 354 | rR:μσmM 0.55 0.44 0.00 0.95 | F:μσmM 66.2 59.2 1.0 339.0 | H 1.748 | V 0.486 | pL 0.032 | vL 0.038 | ∇ 0.158
U 614 | F 1257472 | FPS 0375 | D 360 | rR:μσmM 0.58 0.45 0.00 0.97 | F:μσmM 46.5 27.3 6.0 104.0 | H 1.767 | V 0.468 | pL 0.038 | vL 0.039 | ∇ 0.187
U 615 | F 1259520 | FPS 0347 | D 365 | rR:μσmM 0.57 0.43 0.00 0.96 | F:μσmM 67.8 57.0 6.0 220.0 | H 1.771 | V 0.431 | pL 0.013 | vL 0.030 | ∇ 0.160
U 616 | F 1261568 | FPS 0319 | D 372 | rR:μσmM 0.72 0.35 0.00 0.96 | F:μσmM 78.7 40.2 12.0 171.0 | H 1.737 | V 0.494 | pL 0.011 | vL 0.036 | ∇ 0.183
U 617 | F 1263616 | FPS 0365 | D 378 | rR:μσmM 0.57 0.44 0.00 0.98 | F:μσmM 66.5 39.1 9.0 166.0 | H 1.767 | V 0.399 | pL 0.024 | vL 0.025 | ∇ 0.135
U 618 | F 1265664 | FPS 0384 | D 383 | rR:μσmM 0.57 0.39 0.00 0.95 | F:μσmM 113.3 98.2 7.0 427.0 | H 1.782 | V 0.437 | pL -0.007 | vL 0.025 | ∇ 0.174
U 619 | F 1267712 | FPS 0392 | D 388 | rR:μσmM 0.67 0.38 0.00 0.95 | F:μσmM 78.2 65.4 1.0 318.0 | H 1.778 | V 0.487 | pL -0.048 | vL 0.025 | ∇ 0.131
U 620 | F 1269760 | FPS 0355 | D 394 | rR:μσmM 0.73 0.34 0.00 0.94 | F:μσmM 80.9 40.7 14.0 208.0 | H 1.758 | V 0.495 | pL -0.040 | vL 0.025 | ∇ 0.164
Status saved
U 621 | F 1271808 | FPS 0362 | D 400 | rR:μσmM 0.53 0.44 0.00 0.96 | F:μσmM 61.3 54.4 3.0 285.0 | H 1.762 | V 0.473 | pL -0.001 | vL 0.032 | ∇ 0.186
U 622 | F 1273856 | FPS 0387 | D 405 | rR:μσmM 0.73 0.33 0.00 0.97 | F:μσmM 96.0 64.4 23.0 268.0 | H 1.802 | V 0.374 | pL 0.035 | vL 0.020 | ∇ 0.122
U 623 | F 1275904 | FPS 0404 | D 410 | rR:μσmM 0.63 0.36 0.00 0.96 | F:μσmM 108.7 67.0 3.0 220.0 | H 1.812 | V 0.399 | pL 0.023 | vL 0.023 | ∇ 0.170
U 624 | F 1277952 | FPS 0387 | D 415 | rR:μσmM 0.57 0.39 0.00 0.92 | F:μσmM 97.4 66.7 5.0 209.0 | H 1.822 | V 0.324 | pL 0.025 | vL 0.022 | ∇ 0.136
