#{"t_start": 1673387625.797152, "env_id": "MiniGrid-Empty-Random-6x6-v0"}
r,l,t
0.95,8,161.634084
0.975,4,161.651988
0.925,12,161.708247
0.9875,2,161.717471
0.95,8,161.755483
0.98125,3,161.769689
0.94375,9,161.81488
0.98125,3,161.829375
0.95,8,161.868613
0.975,4,161.886506
0.975,4,161.905124
0.975,4,161.923545
0.96875,5,161.971403
0.98125,3,161.986146
0.975,4,162.005613
0.9875,2,162.015607
0.975,4,162.034442
0.93125,11,162.08702
0.96875,5,162.111866
0.9625,6,162.141191
0.99375,1,162.146016
0.9875,2,162.155086
0.98125,3,162.169739
0.9875,2,162.178939
0.975,4,164.892641
0.96875,5,164.920436
0.9625,6,164.951452
0.9625,6,164.979592
0.975,4,164.997922
0.98125,3,165.012565
0.9625,6,165.038952
0.96875,5,165.062371
0.9375,10,165.110643
0.98125,3,165.125583
0.95,8,165.163841
0.9625,6,165.196375
0.99375,1,165.20101
0.9625,6,165.229607
0.9875,2,165.239791
0.9625,6,165.294747
0.98125,3,165.30887
0.95,8,165.347076
0.99375,1,165.351345
0.96875,5,165.374487
0.98125,3,165.387712
0.96875,5,165.410907
0.95625,7,165.44386
0.96875,5,165.46646
0.975,4,165.484991
0.96875,5,165.50852
0.95625,7,168.232355
0.95,8,168.274865
0.95,8,168.311202
0.98125,3,168.324696
0.98125,3,168.337583
0.975,4,168.357155
0.9875,2,168.366255
0.975,4,168.383914
0.96875,5,168.406594
0.9875,2,168.415658
0.9625,6,168.44558
0.95625,7,168.482368
0.98125,3,168.497153
0.9875,2,168.505676
0.975,4,168.529814
0.98125,3,168.543439
0.9875,2,168.55181
0.91875,13,168.637893
0.9625,6,168.665099
0.9875,2,168.67415
0.975,4,168.692315
0.94375,9,168.732197
0.95,8,168.768727
0.9875,2,168.779227
0.95625,7,168.810367
0.975,4,168.828738
0.975,4,171.600415
0.95625,7,171.635023
0.96875,5,171.6579
0.96875,5,171.681331
0.9375,10,171.726906
0.9875,2,171.735501
0.98125,3,171.748543
0.98125,3,171.762959
0.975,4,171.780804
0.9625,6,171.812245
0.9875,2,171.822694
0.975,4,171.843849
0.99375,1,171.848529
0.99375,1,171.852666
0.99375,1,171.858426
0.9625,6,171.886052
0.94375,9,171.933394
0.9625,6,171.960604
0.95,8,172.018803
0.975,4,172.035843
0.9625,6,172.063812
0.98125,3,172.077405
0.98125,3,172.092
0.95625,7,172.124951
0.98125,3,172.137856
0.95,8,172.17367
0.95,8,172.211813
0.95,8,175.011998
0.98125,3,175.027417
0.975,4,175.047308
0.95,8,175.083308
0.9625,6,175.112607
0.9625,6,175.14001
0.93125,11,175.189541
0.975,4,175.212125
0.9375,10,175.262976
0.96875,5,175.288956
0.96875,5,175.313553
0.9875,2,175.323591
0.98125,3,175.337468
0.9875,2,175.347095
0.96875,5,175.371404
0.9625,6,175.42216
0.975,4,175.443068
0.98125,3,175.457632
0.95,8,175.495014
0.95625,7,175.527262
0.9875,2,175.535921
0.96875,5,175.560205
0.95625,7,175.594313
0.9875,2,175.603533
0.94375,9,189.125931
0.9625,6,189.164843
0.98125,3,189.182434
0.9875,2,189.193978
0.95,8,189.236013
0.98125,3,189.251886
0.95625,7,189.28992
0.99375,1,189.295132
0.95,8,189.343529
0.9625,6,189.377303
0.95,8,189.423963
0.95,8,189.465116
0.975,4,189.508951
0.975,4,189.52971
0.96875,5,189.555214
0.9625,6,189.593839
0.94375,9,189.642869
0.9625,6,189.672571
0.91875,13,189.737185
0.9625,6,189.765329
0.9625,6,189.79666
0.91875,13,192.622266
0.96875,5,192.64559
0.95,8,192.682038
0.98125,3,192.695501
0.98125,3,192.710101
0.93125,11,192.759364
0.975,4,192.77677
0.975,4,192.795473
0.79375,33,192.965016
0.98125,3,193.005409
0.96875,5,193.027792
0.9625,6,193.055165
0.9375,10,193.101054
0.975,4,193.118965
0.95625,7,193.150704
0.9125,14,195.888888
0.975,4,195.908277
0.96875,5,195.934836
0.975,4,195.953931
0.975,4,195.972283
0.93125,11,196.021072
0.90625,15,196.091079
0.9375,10,196.142778
0.94375,9,196.187674
0.94375,9,196.227946
0.975,4,196.246853
0.9375,10,196.317023
0.96875,5,196.340237
0.9375,10,196.386985
0.90625,15,196.455971
0.9875,2,196.464632
0.96875,5,196.4892
0.96875,5,196.510797
0.95625,7,199.272736
0.95,8,199.31289
0.9875,2,199.322338
0.9375,10,199.367583
0.98125,3,199.382346
0.975,4,199.400864
0.96875,5,199.42449
0.95625,7,199.457624
0.9625,6,199.488003
0.9375,10,199.534628
0.94375,9,199.596336
0.975,4,199.640332
0.975,4,199.660376
0.9875,2,199.669536
0.96875,5,199.69294
0.91875,13,199.752181
0.91875,13,199.812565
0.99375,1,199.816664
0.925,12,199.871556
0.95,8,202.639006
0.93125,11,202.694725
0.98125,3,202.707551
0.98125,3,202.722189
0.925,12,202.777379
0.9625,6,202.806276
0.95625,7,202.842867
0.9625,6,202.877088
0.98125,3,202.891354
0.93125,11,202.945191
0.94375,9,202.988537
0.94375,9,203.056521
0.98125,3,203.070588
0.9625,6,203.099914
0.98125,3,203.115578
0.9375,10,203.160461
0.9375,10,203.206543
0.95625,7,203.239939
0.9875,2,203.248279
0.98125,3,205.930039
0.95,8,205.972323
0.975,4,205.990749
0.95,8,206.026905
0.94375,9,206.071128
0.9625,6,206.097253
0.96875,5,206.120104
0.95,8,206.159618
0.95625,7,206.193569
0.975,4,206.212234
0.9375,10,206.260547
0.9375,10,206.306755
0.9375,10,206.378134
0.98125,3,206.392046
0.95625,7,206.423169
0.94375,9,206.466295
0.9625,6,206.494256
0.94375,9,206.534377
0.975,4,206.553214
0.975,4,209.247647
0.98125,3,209.265727
0.96875,5,209.29073
0.98125,3,209.304301
0.96875,5,209.327554
0.98125,3,209.341271
0.975,4,209.358701
0.96875,5,209.381389
0.98125,3,209.39546
0.88125,19,209.485575
0.98125,3,209.500761
0.96875,5,209.525207
0.9875,2,209.536024
0.95625,7,209.573865
0.9875,2,209.586298
0.975,4,209.610549
0.975,4,209.648334
0.96875,5,209.671343
0.975,4,209.690852
0.875,20,209.782891
0.8875,18,209.866235
0.95,8,212.611011
0.95625,7,212.643918
0.9625,6,212.670662
0.9875,2,212.679032
0.975,4,212.697063
0.9875,2,212.706695
0.95,8,212.743357
0.96875,5,212.766458
0.925,12,212.826393
0.9875,2,212.83721
0.98125,3,212.852386
0.975,4,212.873237
0.9375,10,212.922951
0.975,4,212.940828
0.96875,5,212.98981
0.94375,9,213.030466
0.975,4,213.049011
0.98125,3,213.062047
0.95,8,213.09717
0.89375,17,213.175988
